smiles
[H]c1nc([C@@]2([H])c3nn([H])c(=O)c4c([H])c(F)c([H])c(c34)N([H])[C@]2([H])c2c([H])c([H])c(F)c([H])c2[H])n(C([H])([H])[H])n1
[H]c1c(F)c([H])c2c(c1C(=O)N([H])[H])c(=O)n(C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H])n2[H]
[H]c1c([H])c(C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])C(=O)N([H])C([H])([H])c3nc4c(c(=O)n3[H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1OC([H])([H])[H]
[H]c1c([H])c(-c2nc3c(C([H])([H])[H])c([H])c([H])c([H])c3c(=O)n2[H])c([H])c([H])c1Cl
[H]c1c([H])c([H])c2c(=O)n([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])(n4c(=O)n([H])c5c([H])c(OC([H])([H])[H])c([H])c([H])c54)C([H])([H])C3([H])[H])nc2c1[H]
[H]c1c([H])c([H])c2c(=O)n([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])(n4nnc5c([H])c([H])c([H])c([H])c54)C([H])([H])C3([H])[H])nc2c1[H]
[H]c1c(F)c([H])c2c3c1C(=O)N([H])N=C1c3c(n2[H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H]
[H]c1c([H])c([H])c2c(=O)n([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N3C([H])([H])C([H])([H])C([H])(n4c(=O)n([H])c5c([H])c(Cl)c([H])c([H])c54)C([H])([H])C3([H])[H])nc2c1[H]
[H]c1c([H])c([H])c2c3c1C(=O)N([H])N=C1c3c(n2C([H])([H])C2([H])OC2([H])[H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H]
[H]c1c([H])c(-c2nnc([C@]3([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])c4nc5c([H])c([H])c([H])c([H])c5c(=O)n4[H])C([H])([H])C3([H])[H])o2)c([H])c([H])c1OC([H])([H])[H]
